genus,species,locality,lat,long,sp
Acrostichum ,aureum,Australia,-17.306337,145.948351,
Ceratopteris,cornuta,Africa,1.092606,17.281577,
Ceratopteris,cornuta,Oman,23.338054,58.793643,
Ceratopteris,cornuta,Sierra Leone,7.951303,-11.610499,
Ceratopteris,cornuta,Tanzania,-2.771519,33.871058,
Ceratopteris,gaudichaudii,China,24.443932,112.976613,
Ceratopteris,gaudichaudii,Guam,13.558843,144.916397,
Ceratopteris,pteridoides,Bolivia,-14.826718,-66.131018,
Ceratopteris,pteridoides,Brazil,-10.772523,-42.692972,
Ceratopteris,pteridoides,USA,26.187472,-81.524855,
Ceratopteris,pteridoides,USA,30.423497,-86.29939,
Ceratopteris,pteridoides,USA,30.352893,-90.302133,
Ceratopteris,pteridoides,USA,31.097172,-94.123686,
Ceratopteris,richardii,fresh tissue from spores,20.124648,-76.776098,
Ceratopteris,richardii,Puerto Rico,18.099038,-66.406877,
Ceratopteris,richardii,Trinidad,10.702542,-61.216101,
Ceratopteris,thalictroides,Brazil,-4.268894,-52.290649,nw
Ceratopteris,thalictroides,New Guinea,-4.380156,143.223062,ow
Ceratopteris,thalictroides,Australia,-15.740072,145.341936,ow
Ceratopteris,thalictroides,Brazil,-20.651882,-50.139834,ow
Ceratopteris,thalictroides,China,23.670529,106.243485,ow
Ceratopteris,thalictroides,Costa Rica,10.344423,-85.261728,ow
Ceratopteris,thalictroides,French Guyana,3.920865,-52.488009,ow
Ceratopteris,thalictroides,Guyana,6.946762,-59.725171,ow
Ceratopteris,thalictroides,Hawaii,21.609339,-158.00599,ow
Ceratopteris,thalictroides,Hawaii,20.10589,-155.603167,ow
Ceratopteris,thalictroides,India,10.7887,76.23255,ow
Ceratopteris,thalictroides,Japan,33.973765,135.286517,ow
Ceratopteris,thalictroides,Japan,31.577097,131.310639,ow
Ceratopteris,thalictroides,Nepal,27.536069,83.949172,ow
Ceratopteris,thalictroides,New Guinea,-6.991068,139.031321,ow
Ceratopteris,thalictroides,Panama,8.507866,-81.311118,nw
Ceratopteris,thalictroides,Philippines,15.538755,121.241041,ow
Ceratopteris,thalictroides,Taiwan,22.589903,120.597189,ow
Ceratopteris,thalictroides,Taiwan,25.165049,121.565917,ow
Ceratopteris,thalictroides,Texas,27.038949,-97.507783,nw
Ceratopteris,thalictroides,USA,29.857013,-92.786437,nw
Ceratopteris,thalictroides,USA,35.411078,-119.58237,nw
Ceratopteris,thalictroides,USA,29.335691,-81.966108,nw
Ceratopteris,shingii,China,19.121733,109.805457,
